Name,FIPS,"% Language Spoken at Home | French, Haitian, or Cajun, 2021 [Estimated]"
"Abbeville County, SC",45001,0.1165
"Acadia Parish, LA",22001,7.135
"Accomack County, VA",51001,2.8244
"Ada County, ID",16001,0.2277
"Adair County, IA",19001,0
"Adair County, KY",21001,0.0704
"Adair County, MO",29001,1.8138
"Adair County, OK",40001,0.044
"Adams County, CO",08001,0.3389
"Adams County, IA",19003,0
"Adams County, ID",16003,0.2715
"Adams County, IL",17001,0.0146
"Adams County, IN",18001,0.1484
"Adams County, MS",28001,0.1378
"Adams County, ND",38001,0
"Adams County, NE",31001,0.0405
"Adams County, OH",39001,0
"Adams County, PA",42001,0.24
"Adams County, WA",53001,0.0666
"Adams County, WI",55001,0.0208
"Addison County, VT",50001,0.7299
"Adjuntas Municipio, PR",72001,0
"Aguada Municipio, PR",72003,0
"Aguadilla Municipio, PR",72005,0.0309
"Aguas Buenas Municipio, PR",72007,0
"Aibonito Municipio, PR",72009,0
"Aiken County, SC",45003,0.0667
"Aitkin County, MN",27001,0.3587
"Alachua County, FL",12001,0.8722
"Alamance County, NC",37001,0.2608
"Alameda County, CA",06001,0.6895
"Alamosa County, CO",08003,0.2843
"Albany County, NY",36001,0.7675
"Albany County, WY",56001,0.6136
"Albemarle County, VA",51003,0.5503
"Alcona County, MI",26001,0.1311
"Alcorn County, MS",28003,0.0799
"Aleutians East Borough, AK",02013,0.0894
"Aleutians West Census Area, AK",02016,0.4154
"Alexander County, IL",17003,0
"Alexander County, NC",37003,0.2006
"Alexandria city, VA",51510,1.092
"Alfalfa County, OK",40003,0
"Alger County, MI",26003,0
"Allamakee County, IA",19005,0.1416
"Allegan County, MI",26005,0.0997
"Allegany County, MD",24001,0.2675
"Allegany County, NY",36003,0.3597
"Alleghany County, NC",37005,0
"Alleghany County, VA",51005,0
"Allegheny County, PA",42003,0.4805
"Allen County, IN",18003,0.3796
"Allen County, KS",20001,0
"Allen County, KY",21003,0.0303
"Allen County, OH",39003,0.317
"Allen Parish, LA",22003,2.8292
"Allendale County, SC",45005,0.374
"Alpena County, MI",26007,0.2644
"Alpine County, CA",06003,0
"Amador County, CA",06005,0.2841
"Amelia County, VA",51007,0.1148
"Amherst County, VA",51009,0.1442
"Amite County, MS",28005,0.2101
"Anchorage Municipality, AK",02020,0.2515
"Anderson County, KS",20003,0
"Anderson County, KY",21005,0.2777
"Anderson County, SC",45007,0.1867
"Anderson County, TN",47001,0.3287
"Anderson County, TX",48001,0.0457
"Andrew County, MO",29003,0
"Andrews County, TX",48003,0.6768
"Androscoggin County, ME",23001,5.8854
"Angelina County, TX",48005,0.1486
"Anne Arundel County, MD",24003,0.603
"Anoka County, MN",27003,0.4705
"Anson County, NC",37007,0.0387
"Antelope County, NE",31003,0
"Antrim County, MI",26009,0.2032
"Apache County, AZ",04001,0.0225
"Appanoose County, IA",19007,0.0598
"Appling County, GA",13001,0.1797
"Appomattox County, VA",51011,0
"Aransas County, TX",48007,0.0974
"Arapahoe County, CO",08005,0.6468
"Archer County, TX",48009,0
"Archuleta County, CO",08007,0.0532
"Arecibo Municipio, PR",72013,0.0152
"Arenac County, MI",26011,0.0776
"Arkansas County, AR",05001,0
"Arlington County, VA",51013,1.1585
"Armstrong County, PA",42005,0.2013
"Armstrong County, TX",48011,0
"Aroostook County, ME",23003,12.0171
"Arroyo Municipio, PR",72015,0
"Arthur County, NE",31005,0
"Ascension Parish, LA",22005,0.5619
"Ashe County, NC",37009,0.0273
"Ashland County, OH",39005,0.1224
"Ashland County, WI",55003,0.0342
"Ashley County, AR",05003,0
"Ashtabula County, OH",39007,0.0963
"Asotin County, WA",53003,0.1066
"Assumption Parish, LA",22007,9.4598
"Atascosa County, TX",48013,0.0639
"Atchison County, KS",20005,0.501
"Atchison County, MO",29005,0
"Athens County, OH",39009,0.381
"Atkinson County, GA",13003,0
"Atlantic County, NJ",34001,1.0057
"Atoka County, OK",40005,0.1074
"Attala County, MS",28007,0
"Audrain County, MO",29007,0.6413
"Audubon County, IA",19009,0
"Auglaize County, OH",39011,0.0981
"Augusta County, VA",51015,0.3053
"Aurora County, SD",46003,0
"Austin County, TX",48015,0.3027
"Autauga County, AL",01001,0.0518
"Avery County, NC",37011,0.8443
"Avoyelles Parish, LA",22009,7.9225
"Añasco Municipio, PR",72011,0
"Baca County, CO",08009,0.0301
"Bacon County, GA",13005,0.0579
"Bailey County, TX",48017,0
"Baker County, FL",12003,0.8393
"Baker County, GA",13007,0
"Baker County, OR",41001,0.3883
"Baldwin County, AL",01003,0.4315
"Baldwin County, GA",13009,0.157
"Ballard County, KY",21007,0
"Baltimore County, MD",24005,0.7796
"Baltimore city, MD",24510,1.0708
"Bamberg County, SC",45009,0.1284
"Bandera County, TX",48019,0
"Banks County, GA",13011,0.0842
"Banner County, NE",31007,0
"Bannock County, ID",16005,0.1068
"Baraga County, MI",26013,0
"Barber County, KS",20007,0.2544
"Barbour County, AL",01005,0.2858
"Barbour County, WV",54001,0.1016
"Barceloneta Municipio, PR",72017,0
"Barnes County, ND",38003,0.209
"Barnstable County, MA",25001,0.9322
"Barnwell County, SC",45011,0.0556
"Barranquitas Municipio, PR",72019,0
"Barren County, KY",21009,0.2123
"Barron County, WI",55005,0.1433
"Barrow County, GA",13013,1.0319
"Barry County, MI",26015,0.0814
"Barry County, MO",29009,0.1438
"Bartholomew County, IN",18005,0.4497
"Barton County, KS",20009,0.0489
"Barton County, MO",29011,0.0457
"Bartow County, GA",13015,0.2634
"Bastrop County, TX",48021,0.0376
"Bates County, MO",29013,0.331
"Bath County, KY",21011,0.0514
"Bath County, VA",51017,0
"Baxter County, AR",05005,0.005
"Bay County, FL",12005,0.4742
"Bay County, MI",26017,0.1673
"Bayamón Municipio, PR",72021,0.1039
"Bayfield County, WI",55007,0.1533
"Baylor County, TX",48023,0
"Beadle County, SD",46005,0
"Bear Lake County, ID",16007,0
"Beaufort County, NC",37013,0.0581
"Beaufort County, SC",45013,0.3632
"Beauregard Parish, LA",22011,1.6105
"Beaver County, OK",40007,0
"Beaver County, PA",42007,0.1529
"Beaver County, UT",49001,0
"Beaverhead County, MT",30001,0.0334
"Becker County, MN",27005,0.0807
"Beckham County, OK",40009,0
"Bedford County, PA",42009,0.1355
"Bedford County, TN",47003,0.0737
"Bedford County, VA",51019,0.5672
"Bee County, TX",48025,0
"Belknap County, NH",33001,0.8325
"Bell County, KY",21013,0.077
"Bell County, TX",48027,0.5564
"Belmont County, OH",39013,0.2688
"Beltrami County, MN",27007,0.094
"Ben Hill County, GA",13017,0
"Benewah County, ID",16009,0.1974
"Bennett County, SD",46007,0
"Bennington County, VT",50003,0.8004
"Benson County, ND",38005,0.1467
"Bent County, CO",08011,0
"Benton County, AR",05007,0.0311
"Benton County, IA",19011,0.2796
"Benton County, IN",18007,0
"Benton County, MN",27009,0.4049
"Benton County, MO",29015,0.0599
"Benton County, MS",28009,0.1148
"Benton County, OR",41003,0.6773
