GEO_ID,NAME,,Geoid,S1401_C02_034E
0500000US20001,"Allen County, Kansas",,20001,35
0500000US20003,"Anderson County, Kansas",,20003,26.6
0500000US20005,"Atchison County, Kansas",,20005,66
0500000US20007,"Barber County, Kansas",,20007,11.5
0500000US20009,"Barton County, Kansas",,20009,35.7
0500000US20011,"Bourbon County, Kansas",,20011,43.9
0500000US20013,"Brown County, Kansas",,20013,28.8
0500000US20015,"Butler County, Kansas",,20015,51.8
0500000US20017,"Chase County, Kansas",,20017,46.1
0500000US20019,"Chautauqua County, Kansas",,20019,49
0500000US20021,"Cherokee County, Kansas",,20021,36.4
0500000US20023,"Cheyenne County, Kansas",,20023,3.8
0500000US20025,"Clark County, Kansas",,20025,24.3
0500000US20027,"Clay County, Kansas",,20027,12.5
0500000US20029,"Cloud County, Kansas",,20029,46.3
0500000US20031,"Coffey County, Kansas",,20031,24.6
0500000US20033,"Comanche County, Kansas",,20033,11.4
0500000US20035,"Cowley County, Kansas",,20035,51.2
0500000US20037,"Crawford County, Kansas",,20037,59.7
0500000US20039,"Decatur County, Kansas",,20039,19.5
0500000US20041,"Dickinson County, Kansas",,20041,28.5
0500000US20043,"Doniphan County, Kansas",,20043,80.3
0500000US20045,"Douglas County, Kansas",,20045,72.5
0500000US20047,"Edwards County, Kansas",,20047,10.4
0500000US20049,"Elk County, Kansas",,20049,47.5
0500000US20051,"Ellis County, Kansas",,20051,67.3
0500000US20053,"Ellsworth County, Kansas",,20053,41
0500000US20055,"Finney County, Kansas",,20055,26
0500000US20057,"Ford County, Kansas",,20057,37.4
0500000US20059,"Franklin County, Kansas",,20059,35.7
0500000US20061,"Geary County, Kansas",,20061,30.5
0500000US20063,"Gove County, Kansas",,20063,4.2
0500000US20065,"Graham County, Kansas",,20065,39.4
0500000US20067,"Grant County, Kansas",,20067,14.1
0500000US20069,"Gray County, Kansas",,20069,30.7
0500000US20071,"Greeley County, Kansas",,20071,5.3
0500000US20073,"Greenwood County, Kansas",,20073,32.9
0500000US20075,"Hamilton County, Kansas",,20075,43.8
0500000US20077,"Harper County, Kansas",,20077,39.7
0500000US20079,"Harvey County, Kansas",,20079,40.7
0500000US20081,"Haskell County, Kansas",,20081,5.1
0500000US20083,"Hodgeman County, Kansas",,20083,28.6
0500000US20085,"Jackson County, Kansas",,20085,26.4
0500000US20087,"Jefferson County, Kansas",,20087,26.3
0500000US20089,"Jewell County, Kansas",,20089,30.2
0500000US20091,"Johnson County, Kansas",,20091,40.7
0500000US20093,"Kearny County, Kansas",,20093,10.3
0500000US20095,"Kingman County, Kansas",,20095,37.3
0500000US20097,"Kiowa County, Kansas",,20097,79.9
0500000US20099,"Labette County, Kansas",,20099,28.5
0500000US20101,"Lane County, Kansas",,20101,5.5
0500000US20103,"Leavenworth County, Kansas",,20103,33.1
0500000US20105,"Lincoln County, Kansas",,20105,21.6
0500000US20107,"Linn County, Kansas",,20107,16.4
0500000US20109,"Logan County, Kansas",,20109,8.1
0500000US20111,"Lyon County, Kansas",,20111,73.3
0500000US20113,"McPherson County, Kansas",,20113,42
0500000US20115,"Marion County, Kansas",,20115,68
0500000US20117,"Marshall County, Kansas",,20117,13.1
0500000US20119,"Meade County, Kansas",,20119,13.3
0500000US20121,"Miami County, Kansas",,20121,31.7
